id,number,location,start-page,end-page
1,1,0,24,24
2,2,0,28,28
3,3,0,30,30
4,4,0,30,30
5,5,0,32,32
6,6,0,34,34
7,7,0,34,34
8,8,0,36,36
9,9,0,40,40
10,10,0,40,40
11,11,0,42,42
12,12,0,42,42
13,13,0,44,44
14,14,0,48,48
15,15,0,50,50
16,16,0,50,50
17,17,0,50,50
18,18,0,50,50
19,19,0,50,50
20,20,0,50,50
21,21,0,52,52
22,22,0,52,52
23,23,0,52,52
24,24,0,60,60
25,25,0,60,60
26,26,0,62,62
27,27,0,72,72
28,28,0,72,72
29,29,0,72,72
30,30,0,74,74
31,31,0,74,74
32,32,0,76,76
33,33,0,76,76
34,34,0,78,78
35,35,0,80,80
36,36,0,80,80
37,37,0,80,80
38,38,0,82,82
39,39,0,82,82
40,40,0,82,82
41,41,0,84,84
42,42,0,84,84
43,43,0,86,86
44,44,0,86,86
45,44,1,88,88
46,45,0,88,88
47,46,0,90,90
48,47,0,90,90
49,48,0,90,90
50,49,0,92,92
51,50,0,92,92
52,51,0,92,92
53,52,0,94,94
54,53,0,94,94
55,54,0,96,96
56,55,0,96,96
57,56,0,98,98
58,57,0,98,98
59,58,0,98,98
60,59,0,100,100
61,60,0,100,100
62,61,0,102,102
63,62,0,102,102
64,63,0,102,102
65,64,0,104,104
66,65,0,104,104
67,66,0,106,106
68,67,0,106,106
69,68,0,108,108
70,69,0,108,108
71,70,0,112,112
72,71,0,112,112
73,72,0,114,114
74,73,0,114,114
75,74,0,116,116
76,75,0,116,116
77,76,0,118,118
78,76,1,118,118
79,77,0,120,120
80,78,0,120,120
81,79,0,122,122
82,80,0,122,122
83,81,0,122,122
84,82,0,124,124
85,83,0,124,124
86,84,0,126,126
87,85,0,126,126
88,86,0,126,126
89,86,1,128,128
90,87,0,128,128
91,88,0,128,128
92,89,0,130,130
93,90,0,130,130
94,91,0,130,130
95,92,0,132,132
96,93,0,134,134
97,94,0,134,134
98,95,0,134,134
99,96,0,136,136
100,97,0,136,136
101,98,0,138,138
102,99,0,138,138
103,100,0,140,140
104,101,0,140,140
105,102,0,142,142
106,103,0,142,142
107,104,0,144,144
108,105,0,144,144
109,106,0,146,146
110,107,0,146,146
111,108,0,146,146
112,109,0,146,146
113,110,0,148,148
114,111,0,148,148
115,112,0,148,148
116,113,0,148,148
117,114,0,148,148
118,115,0,148,148
119,115,1,150,150
120,116,0,150,150
121,117,0,150,150
122,118,0,152,152
123,119,0,152,152
124,120,0,154,154
125,120,1,154,154
126,120,1,154,154
127,120,1,154,154
128,120,1,156,156
129,121,0,156,156
130,122,0,156,156
131,123,0,156,156
132,124,0,158,158
133,125,0,160,160
134,126,0,160,160
135,126,1,160,160
136,126,1,162,162
137,126,1,162,162
138,126,1,162,162
139,127,0,162,162
140,127,1,162,162
141,128,0,162,162
142,129,0,164,164
143,130,0,166,166
144,131,0,166,166
145,131,1,168,168
146,131,1,168,168
147,131,1,168,168
148,132,0,168,168
149,133,0,168,168
150,134,0,170,170
151,135,0,170,170
152,136,0,170,170
153,137,0,172,172
154,137,1,172,174
155,138,0,174,174
156,139,0,174,174
157,140,0,174,174
158,141,0,176,176
159,142,0,176,176
160,142,1,178,178
161,142,1,178,178
162,142,1,178,178
163,142,1,178,178
164,142,1,178,178
165,142,1,178,178
166,142,1,178,178
167,142,1,178,178
168,142,1,178,178
169,142,1,178,178
170,142,1,178,180
171,143,0,180,180
172,144,0,182,182
173,145,0,184,184
174,146,0,186,186
175,147,0,186,186
176,148,0,186,186
177,149,0,188,188
178,150,0,188,188
179,151,0,190,190
180,152,0,190,190
181,153,0,190,190
182,154,0,190,190
183,155,0,192,192
